experiment_id,timestamp,description,trades,wr_pct,pf,pnl,avg_r,max_dd,config_json
10bar_ch_5.5x,2026-07-16T17:07:12.142194+00:00,10-bar + Chandelier 5.5x,18393,44.1,0.975,-2440.40,-0.0070,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 5.5}"
10bar_ch_6.0x,2026-07-16T17:07:21.318988+00:00,10-bar + Chandelier 6.0x,18229,44.4,0.987,-2050.42,-0.0034,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.0}"
10bar_ch_6.5x,2026-07-16T17:07:30.812641+00:00,10-bar + Chandelier 6.5x,17329,44.1,0.971,-3349.15,-0.0082,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.5}"
10bar_volscale_fixed2r,2026-07-16T17:08:30.983387+00:00,10-bar + vol scaling + fixed 2R,16637,42.9,1.058,-584.12,0.0192,0.0000,"{""lookback"": 10, ""exit"": ""FIXED_2R"", ""vol_scale"": true}"
10bar_volscale_ch6x,2026-07-16T17:09:27.280240+00:00,10-bar + vol scaling + Chandelier 6.0x,14371,44.1,1.037,-2510.13,0.0119,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.0, ""vol_scale"": true}"
baseline_20r,2026-07-16T17:12:46.457319+00:00,20-bar Donchian + fixed 2R (current D4),15445,44.0,0.987,-2630.11,-0.0038,0.0000,"{""lookback"": 20, ""exit"": ""FIXED_2R""}"
baseline_10r,2026-07-16T17:12:53.355520+00:00,10-bar Donchian + fixed 2R,19918,43.8,1.001,-503.41,0.0002,0.0000,"{""lookback"": 10, ""exit"": ""FIXED_2R""}"
10bar_ch_5.0x,2026-07-16T17:13:00.919104+00:00,10-bar + Chandelier 5.0x,18639,44.1,0.973,-2678.15,-0.0074,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 5.0}"
10bar_ch_5.5x,2026-07-16T17:13:08.530852+00:00,10-bar + Chandelier 5.5x,18393,44.1,0.975,-2440.40,-0.0070,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 5.5}"
10bar_ch_6.0x,2026-07-16T17:13:15.993325+00:00,10-bar + Chandelier 6.0x,18229,44.4,0.987,-2050.42,-0.0034,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.0}"
