window,start,end,trades_adx,wr_adx,pf_adx,pnl_adx,avg_r_adx,trades_base,wr_base,pf_base,pnl_base,avg_r_base
30,2018-08-02,2018-08-28,53,47.2,1.747,521.34,0.4006,56,48.2,1.822,593.62,0.4318
31,2018-08-28,2018-09-21,40,35.0,1.053,37.65,0.0349,57,31.6,0.902,-92.66,-0.0682
32,2018-09-21,2018-10-17,50,36.0,1.102,95.06,0.0659,54,38.9,1.245,190.49,0.1519
33,2018-10-17,2018-11-09,57,36.8,1.142,117.51,0.0910,67,38.8,1.241,238.86,0.1497
34,2018-11-09,2018-12-06,50,30.0,0.838,-142.72,-0.1154,54,33.3,0.977,-16.53,-0.0154
35,2018-12-06,2019-01-02,56,42.9,1.467,373.58,0.2704,62,38.7,1.233,201.32,0.1449
36,2019-01-02,2019-01-28,56,39.3,1.264,218.03,0.1627,69,40.6,1.332,335.80,0.2003
37,2019-01-28,2019-02-21,58,43.1,1.471,371.31,0.2732,70,47.1,1.731,672.17,0.3943
38,2019-02-21,2019-03-19,66,30.3,0.845,-180.35,-0.1102,76,36.8,1.133,147.14,0.0858
39,2019-03-19,2019-04-12,48,41.7,1.393,273.48,0.2329,66,36.4,1.113,117.60,0.0732
40,2019-04-12,2019-05-09,60,35.0,1.043,28.60,0.0288,64,37.5,1.163,164.37,0.1039
41,2019-05-09,2019-06-04,57,45.6,1.631,484.44,0.3499,71,40.8,1.342,347.41,0.2063
42,2019-06-04,2019-06-28,71,45.1,1.611,587.79,0.3398,89,46.1,1.675,814.09,0.3690
43,2019-06-28,2019-07-24,60,43.3,1.506,384.37,0.2898,73,39.7,1.297,293.45,0.1812
44,2019-07-24,2019-08-16,64,29.7,0.833,-164.46,-0.1182,86,30.2,0.855,-192.18,-0.1023
45,2019-08-16,2019-09-11,59,30.5,0.866,-150.26,-0.0942,74,35.1,1.068,59.59,0.0443
46,2019-09-11,2019-10-07,43,37.2,1.169,88.25,0.1073,56,39.3,1.276,226.04,0.1690
